Current Velocity: 0	Final Velocity: 15.07	Joules Lost: 5952	Distance: 20	Time: 8.188	Run  	
Current Velocity: 15.07	Final Velocity: 14.51	Joules Lost: 20	Distance: 40	Time: 14.5	Coast	
Current Velocity: 14.51	Final Velocity: 13.95	Joules Lost: 19	Distance: 60	Time: 13.94	Coast	
Current Velocity: 13.95	Final Velocity: 13.38	Joules Lost: 18	Distance: 80	Time: 13.37	Coast	
Current Velocity: 13.38	Final Velocity: 12.81	Joules Lost: 18	Distance: 100	Time: 12.8	Coast	
Current Velocity: 12.81	Final Velocity: 12.21	Joules Lost: 18	Distance: 120	Time: 12.2	Coast	
Current Velocity: 12.21	Final Velocity: 11.6	Joules Lost: 17	Distance: 140	Time: 11.59	Coast	
Current Velocity: 11.6	Final Velocity: 10.98	Joules Lost: 17	Distance: 160	Time: 10.97	Coast	
Current Velocity: 10.98	Final Velocity: 10.33	Joules Lost: 17	Distance: 180	Time: 10.32	Coast	
Current Velocity: 10.33	Final Velocity: 9.652	Joules Lost: 16	Distance: 200	Time: 9.641	Coast	
Current Velocity: 9.652	Final Velocity: 8.95	Joules Lost: 16	Distance: 220	Time: 8.94	Coast	
Current Velocity: 8.95	Final Velocity: 8.206	Joules Lost: 15	Distance: 240	Time: 8.196	Coast	
Current Velocity: 8.206	Final Velocity: 7.402	Joules Lost: 15	Distance: 260	Time: 7.393	Coast	
Current Velocity: 7.402	Final Velocity: 16.27	Joules Lost: 3448	Distance: 280	Time: 6.938	Run  	
Current Velocity: 16.27	Final Velocity: 15.72	Joules Lost: 21	Distance: 300	Time: 15.71	Coast	
Current Velocity: 15.72	Final Velocity: 15.17	Joules Lost: 20	Distance: 320	Time: 15.16	Coast	
Current Velocity: 15.17	Final Velocity: 14.62	Joules Lost: 19	Distance: 340	Time: 14.61	Coast	
Current Velocity: 14.62	Final Velocity: 14.06	Joules Lost: 19	Distance: 360	Time: 14.05	Coast	
Current Velocity: 14.06	Final Velocity: 13.49	Joules Lost: 19	Distance: 380	Time: 13.48	Coast	
