Current Velocity: 0	Run  	Distance: 10	Time: 11	Final Velocity: 11	Joules Lost: 1.1e+03	
Current Velocity: 11	Coast	Distance: 20	Time: 11	Final Velocity: 11	Joules Lost: 1.1e+03	
Current Velocity: 11	Coast	Distance: 30	Time: 11	Final Velocity: 11	Joules Lost: 1.1e+03	
Current Velocity: 11	Coast	Distance: 40	Time: 10	Final Velocity: 10	Joules Lost: 1.1e+03	
Current Velocity: 10	Coast	Distance: 50	Time: 9.9	Final Velocity: 9.9	Joules Lost: 1.1e+03	
Current Velocity: 9.9	Coast	Distance: 60	Time: 9.5	Final Velocity: 9.5	Joules Lost: 1.1e+03	
Current Velocity: 9.5	Coast	Distance: 70	Time: 9.2	Final Velocity: 9.2	Joules Lost: 1.1e+03	
Current Velocity: 9.2	Coast	Distance: 80	Time: 8.8	Final Velocity: 8.8	Joules Lost: 1.1e+03	
Current Velocity: 8.8	Coast	Distance: 90	Time: 8.4	Final Velocity: 8.4	Joules Lost: 1.1e+03	
Current Velocity: 8.4	Run  	Distance: 1e+02	Time: 8.4	Final Velocity: 13	Joules Lost: 2.1e+03	
Current Velocity: 13	Coast	Distance: 1.1e+02	Time: 13	Final Velocity: 13	Joules Lost: 2.1e+03	
Current Velocity: 13	Coast	Distance: 1.2e+02	Time: 13	Final Velocity: 13	Joules Lost: 2.1e+03	
Current Velocity: 13	Coast	Distance: 1.3e+02	Time: 13	Final Velocity: 13	Joules Lost: 2.1e+03	
Current Velocity: 13	Coast	Distance: 1.4e+02	Time: 12	Final Velocity: 12	Joules Lost: 2.1e+03	
Current Velocity: 12	Coast	Distance: 1.5e+02	Time: 12	Final Velocity: 12	Joules Lost: 2.1e+03	
Current Velocity: 12	Coast	Distance: 1.6e+02	Time: 12	Final Velocity: 12	Joules Lost: 2.1e+03	
Current Velocity: 12	Coast	Distance: 1.7e+02	Time: 11	Final Velocity: 11	Joules Lost: 2.1e+03	
Current Velocity: 11	Coast	Distance: 1.8e+02	Time: 11	Final Velocity: 11	Joules Lost: 2.1e+03	
Current Velocity: 11	Coast	Distance: 1.9e+02	Time: 11	Final Velocity: 11	Joules Lost: 2.1e+03	
Current Velocity: 11	Coast	Distance: 2e+02	Time: 10	Final Velocity: 10	Joules Lost: 2.1e+03	
Current Velocity: 10	Coast	Distance: 2.1e+02	Time: 10	Final Velocity: 10	Joules Lost: 2.1e+03	
Current Velocity: 10	Coast	Distance: 2.2e+02	Time: 9.7	Final Velocity: 9.7	Joules Lost: 2.1e+03	
Current Velocity: 9.7	Coast	Distance: 2.3e+02	Time: 9.3	Final Velocity: 9.4	Joules Lost: 2.1e+03	
Current Velocity: 9.4	Coast	Distance: 2.4e+02	Time: 9	Final Velocity: 9	Joules Lost: 2.1e+03	
Current Velocity: 9	Coast	Distance: 2.5e+02	Time: 8.6	Final Velocity: 8.6	Joules Lost: 2.1e+03	
Current Velocity: 8.6	Run  	Distance: 2.6e+02	Time: 8.2	Final Velocity: 14	Joules Lost: 3e+03	
Current Velocity: 14	Coast	Distance: 2.7e+02	Time: 13	Final Velocity: 13	Joules Lost: 3e+03	
Current Velocity: 13	Coast	Distance: 2.8e+02	Time: 13	Final Velocity: 13	Joules Lost: 3e+03	
